AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_K04,LEFT,2,3,14,1.182973929151516e-05,-0.001228841177234728,-0.12111121857636056,66.35202783015308
AMAC_K04,LEFT,2,3,15,1.1862604412982028e-05,-0.0012321166039644814,-0.12115739523885054,66.88607102979702
AMAC_K04,LEFT,3,0,0,4.0583408618811624e-08,-3.3350615149664604e-06,-0.11179585767361164,655.4067554780665
AMAC_K04,LEFT,3,0,1,1.0021435431250031e-07,-8.251649390005534e-06,-0.11413610709650183,2957.234809112511
AMAC_K04,LEFT,3,0,2,9.2011815264173e-07,-7.871977595181127e-05,-0.11133194978753855,53.26096949499477
AMAC_K04,LEFT,3,0,3,1.0055347870289603e-06,-8.60388567267241e-05,-0.11104448837897067,52.50341069379721
AMAC_K04,LEFT,3,0,4,4.293174245940974e-06,-0.00036697833827363773,-0.11290322170068112,61.17596374617197
AMAC_K04,LEFT,3,0,5,4.380910992804338e-06,-0.00037464677839167595,-0.1125891216124307,61.02219605595062
AMAC_K04,LEFT,3,0,6,5.174427859655305e-06,-0.00044276208727251634,-0.11253323113998305,60.875163573702565
AMAC_K04,LEFT,3,0,7,5.256511595258296e-06,-0.0004496216940804562,-0.11296130826924834,61.419659096599815
AMAC_K04,LEFT,3,0,8,9.375749724168292e-06,-0.0008024253096866657,-0.1146440957836862,60.66949320523464
AMAC_K04,LEFT,3,0,9,9.444233659358092e-06,-0.0008082856546315382,-0.11528172312652375,61.14745914967986
AMAC_K04,LEFT,3,0,10,1.0218052304798355e-05,-0.0008739443444576488,-0.11743150194469879,62.925262198251396
AMAC_K04,LEFT,3,0,11,1.0258509779323715e-05,-0.0008766644673686588,-0.11674132781675364,63.55732136041929
AMAC_K04,LEFT,3,0,12,1.3601182453958289e-05,-0.0011635908196936948,-0.11895808630390983,64.13170555233785
AMAC_K04,LEFT,3,0,13,1.3638864177549721e-05,-0.0011660623755956258,-0.11911601090717655,64.81323572591128
AMAC_K04,LEFT,3,0,14,1.438371535961394e-05,-0.0012295415974899165,-0.12010983790454367,65.97801490028425
AMAC_K04,LEFT,3,0,15,1.4540976195942391e-05,-0.0012435047729672994,-0.11927979255535848,64.22613567266677
AMAC_K04,LEFT,3,1,0,1.7338655140203874e-08,0.00012458637967358756,-129.42967005411495,12731.340816005899
AMAC_K04,LEFT,3,1,1,4.984853236025236e-08,-9.285164249073208e-06,-0.13607926620386473,3001.4091465236534
AMAC_K04,LEFT,3,1,2,8.679308642901788e-08,-1.525489710778321e-05,-0.16910779340790497,36207.40054517527
AMAC_K04,LEFT,3,1,3,6.921713907699247e-08,-1.1722018383440954e-05,-0.20218886515984183,53306.52254210924
AMAC_K04,LEFT,3,1,4,1.8414756727110102e-06,-0.00035084197663150994,-0.10336844430332354,101.9126273792695
AMAC_K04,LEFT,3,1,5,1.928569467671165e-06,-0.0003653231825174568,-0.20128750337574144,157.8602157132284
AMAC_K04,LEFT,3,1,6,2.2217114857996426e-06,-0.00042335445294346,-0.10190780098067179,53.48278023432859
AMAC_K04,LEFT,3,1,7,2.2580133196117797e-06,-0.00043006583630843324,-0.10676999081868332,58.33923907322874
AMAC_K04,LEFT,3,1,8,4.0074636779107955e-06,-0.0007630696548867155,-0.11257375174481679,61.939600239414176
AMAC_K04,LEFT,3,1,9,4.046142766977745e-06,-0.0007705569373647911,-0.11308782137663324,62.24649846795195
AMAC_K04,LEFT,3,1,10,4.385048730871534e-06,-0.0008349929903689524,-0.1141386683615874,63.28623276325124
AMAC_K04,LEFT,3,1,11,4.4213572860673366e-06,-0.0008420425806912998,-0.11447034324961657,63.52519925936248
AMAC_K04,LEFT,3,1,12,5.836123766540309e-06,-0.0011111181214584899,-0.1171546386868274,64.99137606812145
AMAC_K04,LEFT,3,1,13,5.883878762852289e-06,-0.0011205472846347645,-0.11693142300566131,64.6685040615775
AMAC_K04,LEFT,3,1,14,6.216061277380397e-06,-0.0011838240173235052,-0.1164145161125722,64.46600191187018
AMAC_K04,LEFT,3,1,15,6.236921751074351e-06,-0.0011873582777989905,-0.11643271836712495,64.81334328200163
AMAC_K04,LEFT,3,2,0,2.9797126261471523e-08,-3.004850051692952e-06,-0.10048924326265748,571.0090045115704
AMAC_K04,LEFT,3,2,1,8.573243755559992e-08,-9.06886178223383e-06,-0.1204116157877885,2269.499182711108
AMAC_K04,LEFT,3,2,2,7.118168596238798e-07,-7.746988437663799e-05,-0.10902108883956972,84.53548181654712
AMAC_K04,LEFT,3,2,3,7.808988593765979e-07,-8.492308778270733e-05,-0.11288095171764581,56.29972380724411
AMAC_K04,LEFT,3,2,4,3.331915288782605e-06,-0.0003620484479324623,-0.1115860840581415,60.69779878312048
AMAC_K04,LEFT,3,2,5,3.3973226344517644e-06,-0.00036908703283159577,-0.11214961170591341,61.26094777445288
